Name,MW,time
!002_2FV9_B,447.525,55751
!003_2JFZ_A,439.509,7930
!00J_2XIR_A,462.518,6785
!017_4DQE_B,547.664,6717
!018_3H7W_A,302.272,3455
!01I_3MA3_A,294.215,15113
!020_3H82_A,286.207,3329
!022_3QJ5_A,413.449,6264
!023_2WO9_B,390.496,4253
!024_2QBS_A,452.319,4245
!027_3PIX_A,382.483,8559
!02Z_3RZB_A,234.278,3141
!03I_3U1Y_A,490.612,9147
!03K_4EK5_A,270.287,3663
!03U_3U2O_A,368.358,4594
!03X_3U6J_A,528.531,5431
!03Z_3RAK_A,374.437,4237
!044_3U6I_A,542.558,7229
!046_3UGC_A,571.594,10186
!04L_3PJ3_A,473.525,3832
!04Z_3RAL_A,404.463,4868
!053_3SKA_A,427.356,7827
!054_3SKE_A,500.43,12566
!05B_3R1N_A,404.442,8275
!064_3DCT_A,541.83,4604
!065_2QD7_B,576.658,6740
!068_2WO9_A,311.352,4090
!06F_3UVR_A,521.653,9722
!06J_3R92_A,435.582,18628
!06P_3QTV_H,368.473,4009
!06T_3RKZ_A,494.649,17070
!06Z_3RJC_A,313.349,3264
!076_3TOF_A,516.628,8389
!077_2WO8_A,269.315,3238
!079_3TOG_A,534.666,8286
!07N_3TTZ_A,420.266,8006
!07U_3TXO_A,294.374,7242
!07V_3TXZ_A,150.218,821
!082_3TY0_A,484.46,11153
!085_3TZM_A,384.387,1793
!087_3U2K_A,430.716,4329
!08B_3U2D_A,408.25,4187
!08C_4BU9_A,252.268,1172
!08E_3U4O_A,393.803,6455
!08H_3U5J_A,308.765,6414
!08J_3U5K_A,325.767,6438
!08K_3U5L_A,323.78,7012
!08W_3UA8_A,446.361,10850
!08Z_3RK7_A,339.372,4288
!097_1R55_A,330.4,692
!099_3HYG_A,369.391,4047
!09A_3UDM_A,323.366,9232
!09D_3UDP_A,460.364,12427
!09F_3UDR_A,340.396,8778
!09G_3UDY_A,427.271,11563
!09H_3U9N_A,407.509,1954
!09J_3U8W_A,465.907,8115
!09K_4FKI_A,325.286,4897
!09L_4TKG_A,434.463,3673
!09Z_3RK9_A,262.331,3590
!0A1_3QTC_A,195.215,1574
!0B1_3VV7_A,347.41,5035
!0B3_3WB4_A,245.32,6147
!0BX_3UNJ_A,305.311,2595
!0BY_3UNK_A,339.756,2411
!0C1_3UPH_A,499.487,9058
!0C8_3UP2_A,389.308,4172
!0CA_3UPE_A,526.649,9697
