name,MW,time
!002_2FV9_B,447.525,63863
!003_2JFZ_A,439.509,22382
!00J_2XIR_A,462.518,23144
!017_4DQE_B,547.664,38606
!018_3H7W_A,302.272,6408
!01I_3MA3_A,294.215,16428
!020_3H82_A,286.207,6550
!022_3QJ5_A,413.449,19403
!023_2WO9_B,390.496,9866
!024_2QBS_A,452.319,13921
!027_3PIX_A,394.578,38877
!02Z_3RZB_A,234.278,5254
!03I_3U1Y_A,490.612,20975
!03K_4EK5_A,270.287,8065
!03U_3U2O_A,368.358,11186
!03X_3U6J_A,528.531,20688
!03Z_3RAK_A,374.437,8706
!044_3U6I_A,542.558,23009
!046_3UGC_A,571.594,25760
!04L_3PJ3_A,482.597,26928
!04Z_3RAL_A,404.463,9413
!053_3SKA_A,427.356,17627
!054_3SKE_A,508.493,31957
!05B_3R1N_A,408.474,36485
!064_3DCT_A,541.83,15287
!065_2QD7_B,576.658,39231
!068_2WO9_A,311.352,11372
!06F_3UVR_A,525.684,24991
!06J_3R92_A,435.582,33755
!06P_3QTV_H,368.473,21201
!06T_3RKZ_A,498.681,41563
!06Z_3RJC_A,313.349,7570
!076_3TOF_A,516.628,36964
!077_2WO8_A,269.315,10346
!079_3TOG_A,534.666,36097
!07N_3TTZ_A,425.306,24885
!07U_3TXO_A,294.374,15343
!07V_3TXZ_A,150.218,4734
!082_3TY0_A,484.46,27964
!085_3TZM_A,384.387,20813
!087_3U2K_A,430.716,14486
!08B_3U2D_A,408.25,12312
!08C_4BU9_A,252.268,11643
!08E_3U4O_A,393.803,15797
!08H_3U5J_A,312.797,13336
!08J_3U5K_A,325.767,10820
!08K_3U5L_A,323.78,16667
!08W_3UA8_A,446.361,17134
!08Z_3RK7_A,339.372,8272
!097_1R55_A,330.4,641
!099_3HYG_A,369.391,17922
!09A_3UDM_A,323.366,18251
!09D_3UDP_A,460.364,25224
!09F_3UDR_A,340.396,24143
!09G_3UDY_A,427.271,20900
!09H_3U9N_A,407.509,18595
!09J_3U8W_A,472.963,26260
!09K_4FKI_A,330.325,16863
!09L_4TKG_A,442.526,29857
!09Z_3RK9_A,262.331,5957
!0A1_3QTC_A,195.215,3976
!0B1_3VV7_A,347.41,15669
!0B3_3WB4_A,245.32,9291
!0BX_3UNJ_A,305.311,8312
!0BY_3UNK_A,339.756,8817
!0C1_3UPH_A,511.582,47531
!0C8_3UP2_A,389.308,10844
!0CA_3UPE_A,534.713,45274
!0CB_3UUZ_A,538.638,24321
!0CH_3UV6_A,247.057,367
!0CJ_3UTD_A,259.068,385
!0CK_3UZP_A,341.426,16313
!0CN_3UV7_A,227.026,365
!0CO_3CS6_A,444.647,45810
!0CZ_3UUA_A,336.229,9919
!0D2_3UVC_A,350.328,19380
!0DF_3UWK_A,225.246,10368
!0DI_3SFF_A,407.842,16275
!0DJ_3UWO_A,268.271,11258
!0DN_3UXM_A,244.22,11840
!0E0_5C5P_A,273.327,13497
!0F9_3VBT_A,194.618,5997
!0FK_3VBV_A,188.183,5217
!0FR_3VBY_A,211.216,7770
!0FV_3V1X_A,329.176,511
!0FX_3VBL_A,546.337,50948
!0G1_3V5L_A,445.661,47289
!0G2_3V8W_A,401.524,25769
!0G8_4QWA_A,386.192,13748
!0GA_5CWA_A,236.178,2915
!0GD_4D7J_A,337.434,13695
!0GO_3VEU_A,550.775,41373
!0GX_3V7T_A,496.456,27561
!0GY_4DI9_A,199.095,372
!0H5_3VEY_A,259.307,11582
!0H9_4FPE_A,245.295,3651
